key,value
tab9_lin8_col4,"3033,4838300000"
tab9_lin8_col5,"1036239,21372"
tab9_lin8_col6,"1,0916693002"
tab9_lin8_col7,0
tab9_lin8_col8,"1036239,21372"
tab9_lin8_col9,D+1
tab9_lin9_col0,    
tab9_lin9_col1,Debêntures
tab9_lin9_col2,"1130827,67357"
tab9_lin9_col3,0
tab9_lin9_col4,"-14868,11568"
tab9_lin9_col5,"1115959,55789"
tab9_lin9_col6,"1,1756540126"
tab9_lin9_col7,0
tab9_lin9_col8,"1115959,55789"
tab9_lin9_col9,
tab9_lin10_col0,    
tab9_lin10_col1,"CCROB6 IPCA + 6,4370 - 15/01/2036"
tab9_lin10_col2,"1130827,67357"
tab9_lin10_col3,0
tab9_lin10_col4,"-14868,1156800000"
tab9_lin10_col5,"1115959,55789"
tab9_lin10_col6,"1,1756540126"
tab9_lin10_col7,0
tab9_lin10_col8,"1115959,55789"
tab9_lin10_col9,D+1
tab9_lin11_col0,    
tab9_lin11_col1,Fundos
tab9_lin11_col2,"58559864,2946"
tab9_lin11_col3,"46324,71"
tab9_lin11_col4,"689367,177089"
tab9_lin11_col5,"59295556,18"
tab9_lin11_col6,"62,4673699533"
tab9_lin11_col7,"456759,749944"
tab9_lin11_col8,"58838796,43"
tab9_lin11_col9,
tab9_lin12_col0,    
tab9_lin12_col1,Absolute Hidra Ipca FI Em Cotas de FI MM Créd Priv 
tab9_lin12_col2,"3596602,16426"
tab9_lin12_col3,0
tab9_lin12_col4,"21493,0000100000"
tab9_lin12_col5,"3618095,16427"
tab9_lin12_col6,"3,8116328392"
tab9_lin12_col7,"2714,27464"
tab9_lin12_col8,"3615380,88963"
tab9_lin12_col9,D+31
tab9_lin13_col0,    
tab9_lin13_col1,Absolute Pace Long Biased FICFIA 
tab9_lin13_col2,"3228739,88106"
tab9_lin13_col3,0
tab9_lin13_col4,"12560,8557000000"
tab9_lin13_col5,"3241300,73676"
tab9_lin13_col6,"3,4146830774"
tab9_lin13_col7,"29367,35351"
tab9_lin13_col8,"3211933,38325"
tab9_lin13_col9,D+32
tab9_lin14_col0,    
tab9_lin14_col1,Atmos Atmr Match Ekho Fo FI Em Cotas de FI Financeiro Em Açõ 
tab9_lin14_col2,"5406499,05548"
tab9_lin14_col3,0
tab9_lin14_col4,"25924,7102700000"
tab9_lin14_col5,"5432423,76575"
tab9_lin14_col6,"5,7230127683"
tab9_lin14_col7,"61072,31057"
tab9_lin14_col8,"5371351,45518"
tab9_lin14_col9,(vide regulamento)
tab9_lin15_col0,    
tab9_lin15_col1,BTG Pactual Digital Tesouro Selic Simples FI RF 
tab9_lin15_col2,"3500,15281982"
tab9_lin15_col3,"-3515,31"
tab9_lin15_col4,"15,1586880782"
tab9_lin15_col5,"0,00150789811928"
tab9_lin15_col6,"0,0000000015"
tab9_lin15_col7,"0,0274963427664"
tab9_lin15_col8,"-0,0259884446471"
tab9_lin15_col9,D+0
tab9_lin16_col0,    
tab9_lin16_col1,BTG Pactual Tesouro Ipca Curto FI RF Ref 
tab9_lin16_col2,"1893664,61417"
tab9_lin16_col3,0
tab9_lin16_col4,"5260,0035600000"
tab9_lin16_col5,"1898924,61773"
tab9_lin16_col6,"2,0005011210"
tab9_lin16_col7,0
tab9_lin16_col8,"1898924,61773"
tab9_lin16_col9,D+1
tab9_lin17_col0,    
tab9_lin17_col1,BTG Pactual Tesouro Selic FI RF Ref DI 
tab9_lin17_col2,"733238,807633"
tab9_lin17_col3,0
tab9_lin17_col4,"4030,4453050000"
tab9_lin17_col5,"737269,252938"
tab9_lin17_col6,"0,7767069599"
tab9_lin17_col7,"1564,423909"
tab9_lin17_col8,"735704,829029"
tab9_lin17_col9,D+0
tab9_lin18_col0,    
